Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
148,31,1,197,0,Some Random Commen with Id 148
149,31,1,124,0,Some Random Commen with Id 149
150,32,1,99,1,Some Random Commen with Id 150
151,32,1,179,1,Some Random Commen with Id 151
152,32,1,114,0,Some Random Commen with Id 152
153,32,1,153,3,Some Random Commen with Id 153
154,32,1,67,4,Some Random Commen with Id 154
155,32,1,122,5,Some Random Commen with Id 155
156,32,1,2,0,Some Random Commen with Id 156
157,33,8,109,3,Some Random Commen with Id 157
158,33,8,130,7,Some Random Commen with Id 158
159,34,8,60,7,Some Random Commen with Id 159
160,34,8,78,2,Some Random Commen with Id 160
161,34,8,93,6,Some Random Commen with Id 161
162,34,8,114,2,Some Random Commen with Id 162
163,34,8,82,0,Some Random Commen with Id 163
164,34,8,138,6,Some Random Commen with Id 164
165,35,0,109,2,Some Random Commen with Id 165
166,35,0,158,5,Some Random Commen with Id 166
167,35,0,171,2,Some Random Commen with Id 167
168,35,0,17,5,Some Random Commen with Id 168
169,35,0,59,5,Some Random Commen with Id 169
170,35,0,42,8,Some Random Commen with Id 170
171,35,0,114,4,Some Random Commen with Id 171
172,35,0,26,7,Some Random Commen with Id 172
173,35,0,183,8,Some Random Commen with Id 173
174,36,9,124,8,Some Random Commen with Id 174
175,36,9,36,4,Some Random Commen with Id 175
176,36,9,30,3,Some Random Commen with Id 176
177,36,9,165,8,Some Random Commen with Id 177
178,36,9,37,8,Some Random Commen with Id 178
179,36,9,45,7,Some Random Commen with Id 179
180,37,9,197,1,Some Random Commen with Id 180
181,38,3,154,5,Some Random Commen with Id 181
182,38,3,92,8,Some Random Commen with Id 182
183,38,3,182,5,Some Random Commen with Id 183
184,38,3,52,6,Some Random Commen with Id 184
185,39,9,111,8,Some Random Commen with Id 185
186,39,9,186,8,Some Random Commen with Id 186
187,39,9,71,2,Some Random Commen with Id 187
188,39,9,39,0,Some Random Commen with Id 188
189,39,9,21,8,Some Random Commen with Id 189
190,39,9,139,3,Some Random Commen with Id 190
191,39,9,7,1,Some Random Commen with Id 191
192,39,9,118,3,Some Random Commen with Id 192
